Nombre,Club,IRJ,Participacion,Juego-limpio,Anotaciones-Asistencias,Defensiva,Fallos,Porcentaje-Equipo,Porcentaje-General,Posicion,
Marvin Angulo Borbón,Saprissa,145,76,-1,62,8,0,100.0,100.0,Volante,
Daniel Colindres Solera,Saprissa,115,80,-2,37,0,0,78.3,79.3,Delantero,
Ulises Segura Machado,Saprissa,105,77,-4,24,8,0,71.0,72.4,Volante,
Francisco Calvo Quesada,Saprissa,104,70,-5,30,9,0,70.3,71.7,Defensa,
Danny Carvajal Rodríguez,Saprissa,97,80,-2,0,20,-1,65.2,66.9,Portero,
Roy Miller Hernandez,Saprissa,90,69,-4,15,10,0,60.1,62.1,Defensa,
Adolfo Machado ,Saprissa,82,78,-4,0,8,0,54.3,56.6,Defensa,
Rolando Blackburn Ortega,Saprissa,81,54,0,27,0,0,53.6,55.9,Delantero,
Mariano Torres ,Saprissa,76,53,-2,21,4,0,50.0,52.4,Volante,
Hansell Arauz Ovares,Saprissa,68,50,-2,16,4,0,44.2,46.9,Delantero,
David Guzmán Pérez,Saprissa,66,61,-7,8,4,0,42.8,45.5,Volante,
Heiner Mora Mora,Saprissa,55,44,-2,9,4,0,34.8,37.9,Defensa,
Fabrizio Ronchetti Amaral,Saprissa,48,26,0,22,0,0,29.7,33.1,Delantero,
Jaikel Medina Scarlett,Saprissa,48,45,-6,5,4,0,29.7,33.1,Volante,
Anllel Porras Conejo,Saprissa,41,29,-2,14,0,0,24.6,28.3,Delantero,
Julio Cascante Solórzano,Saprissa,36,31,-1,0,6,0,21.0,24.8,Defensa,
Joseph Mora Cortés,Saprissa,35,33,-1,3,0,0,20.3,24.1,Defensa,
Juan Bustos Golobio,Saprissa,21,21,0,0,0,0,10.1,14.5,Volante,
Christian Martínez Mena,Saprissa,á21,22,-2,0,1,0,10.1,14.5,Volante,
Randy Chirino Serrano,Saprissa,19,16,0,3,0,0,8.7,13.1,Delantero,
Mario Sequeira Quesada,Saprissa,19,19,0,0,0,0,8.7,13.1,Portero,
Marvin Loría Leitón,Saprissa,7,7,0,0,0,0,0.0,4.8,Defensa,
Yendrick Ruíz González,Herediano,101,60,-2,43,0,0,100.0,69.4,Delantero,
Elías Aguilar Vargas,Herediano,85,71,-2,12,4,0,83.8,58.3,Volante,
Pablo Salazar Sánchez,Herediano,80,75,-4,12,-3,0,78.8,54.9,Defensa,
Oscar Granados Maroto,Herediano,77,65,-5,13,4,0,75.8,52.8,Volante,
Jonathan Hansen ,Herediano,75,50,-4,29,0,0,73.7,51.4,Delantero,
José Cubero Loría,Herediano,74,64,-4,10,4,0,72.7,50.7,Volante,
Gerson Torres Barrantes,Herediano,65,54,-4,15,0,0,63.6,44.4,Delantero,
Randall Azofeifa Corrales,Herediano,64,54,-5,15,1,-1,62.6,43.8,Volante,
Adrián De Lemos Calderón,Herediano,56,49,-2,0,10,-1,54.5,38.2,Portero,
Yosimar Arias Céspedes,Herediano,53,43,0,9,1,0,51.5,36.1,Volante,
Víctor Núñez Rodríguez,Herediano,53,39,-2,16,0,0,51.5,36.1,Delantero,
Heyreel Saravia Vargas,Herediano,48,48,-2,0,2,0,46.5,32.6,Volante,
José Sánchez Barquero,Herediano,44,39,-3,6,2,0,42.4,29.9,Volante,
Esteban Ramírez Segnini,Herediano,43,33,-2,12,0,0,41.4,29.2,Volante,
Allan Miranda Albertazzi,Herediano,39,43,-3,3,-4,0,37.4,26.4,Defensa,
Josué Martínez çreas,Herediano,35,29,-1,7,0,0,33.3,23.6,Delantero,
William Quirós Espinoza,Herediano,34,29,-1,3,3,0,32.3,22.9,Defensa,
Leonel Moreira Ledezma,Herediano,28,34,0,0,-6,0,26.3,18.8,Portero,
Johnny Acosta Zamora,Herediano,28,38,-4,0,-6,0,26.3,18.8,Defensa,
Johan Condega Hernández,Herediano,27,21,-2,8,0,0,25.3,18.1,Volante,
Luis Hernánde Hernández,Herediano,21,22,-2,0,1,0,19.2,13.9,Defensa,
Lucas Colitto ,Herediano,18,20,-2,0,0,0,16.2,11.8,Volante,
Leonardo González Arce,Herediano,17,25,-3,0,-5,0,15.2,11.1,Defensa,
Justin Cordero ,Herediano,14,11,-1,4,0,0,12.1,9.0,Delantero,
Daniel Cambronero Solano,Herediano,14,15,0,0,-1,0,12.1,9.0,Portero,
José Leitón Rodríguez,Herediano,14,16,-2,0,0,0,12.1,9.0,Volante,
Mauricio Núñez Morales,Herediano,8,13,-1,0,-4,0,6.1,4.9,Defensa,
Keyner Brown Blackwood,Herediano,3,5,-1,0,-1,0,1.0,1.4,Defensa,
Christopher Meneses Barrantes,Alajuelense,87,71,-7,22,1,0,100.0,59.7,Defensa,
Patrick Pemberton Bernard,Alajuelense,83,72,0,0,11,0,95.3,56.9,Portero,
José Ortiz Picado,Alajuelense,72,57,-1,16,0,0,82.4,49.3,Delantero,
Diego Madrigal Ulloa,Alajuelense,69,48,-1,20,2,0,78.8,47.2,Volante,
Jonathan McDonald Porras,Alajuelense,69,47,-5,29,0,-2,78.8,47.2,Delantero,
Johnny Woodly Lambert,Alajuelense,68,54,-3,17,0,0,77.6,46.5,Delantero,
Allen Guevara Zúñiga,Alajuelense,62,59,-2,3,2,0,70.6,42.4,Volante,
José Salvatierra López,Alajuelense,62,60,-8,6,4,0,70.6,42.4,Defensa,
Luis Valle Juárez,Alajuelense,60,57,-1,0,4,0,68.2,41.0,Volante,
Pablo Antonio Gabas,Alajuelense,53,43,-5,13,2,0,60.0,36.1,Volante,
Jameson Scott Guevara,Alajuelense,50,50,-2,0,4,-2,56.5,34.0,Defensa,
Michael Umaña Corrales,Alajuelense,50,46,-2,0,6,0,56.5,34.0,Defensa,
Kenner Gutiérrez Cerdas,Alajuelense,49,47,-3,3,2,0,55.3,33.3,Defensa,
Juan Hernández Tagle,Alajuelense,43,27,-3,18,1,0,48.2,29.2,Volante,
Jonathan Sibaja Sandoval,Alajuelense,42,37,0,3,2,0,47.1,28.5,Volante,
Jorge Claros Juárez,Alajuelense,39,40,-3,0,2,0,43.5,26.4,Volante,
Lucas Gómez ,Alajuelense,35,29,-2,8,0,0,38.8,23.6,Delantero,
Harold Cummings Segura,Alajuelense,33,29,-2,0,6,0,36.5,22.2,Defensa,
Diego Mesén Calvo,Alajuelense,26,30,-3,0,-1,0,28.2,17.4,Defensa,
