Club,Nombre,IRJ General,Participacion,Juego limpio,Anotaciones y Asistencias,Defensiva,Fallos,Porcentaje Equipo,Porcentaje General,Posicion,
Saprissa,Marvin Angulo Borbón,156,84,-3,67,8,0,100.0,100.0,Volante,
Saprissa,Daniel Colindres Solera,149,100,-3,52,0,0,95.5,95.5,Delantero,
Saprissa,Ulises Segura Machado,127,95,-4,27,9,0,81.3,81.3,Volante,
Saprissa,Francisco Calvo Quesada,118,80,-5,36,7,0,75.5,75.5,Defensa,
Saprissa,Dany Carvajal Rodríguez,117,100,-2,0,20,-1,74.8,74.8,Portero,
Saprissa,Roy Miller Hernández,108,89,-5,15,9,0,69.0,69.0,Defensa,
Saprissa,Rolando Blackburn Ortega,99,69,-1,31,0,0,63.2,63.2,Delantero,
Saprissa,Adolfo Machado ,97,93,-4,0,8,0,61.9,61.9,Defensa,
Saprissa,Mariano Torres ,96,68,-3,26,5,0,61.3,61.3,Volante,
Saprissa,Hansell Arauz Ovares,91,70,-3,19,5,0,58.1,58.1,Delantero,
Saprissa,David Guzmán Pérez,81,71,-9,14,5,0,51.6,51.6,Volante,
Saprissa,Heiner Mora Mora,55,44,-2,9,4,0,34.8,34.8,Defensa,
Saprissa,Jaikel Medina Scarlett,51,49,-7,5,4,0,32.3,32.3,Volante,
Saprissa,Julio Cascante Solórzano,51,43,-2,6,4,0,32.3,32.3,Defensa,
Saprissa,Anllel Porras Conejo,51,40,-3,14,0,0,32.3,32.3,Delantero,
Saprissa,Fabrizio Ronchetti Amaral,50,28,0,22,0,0,31.6,31.6,Delantero,
Saprissa,Joseph Mora Cortés,49,46,-1,3,1,0,31.0,31.0,Defensa,
Saprissa,Christian Martínez Mena,35,36,-2,0,1,0,21.9,21.9,Volante,
Saprissa,Juan Bustos Golobio,33,28,0,5,0,0,20.6,20.6,Volante,
Saprissa,Randy Chirino Serrano,24,21,0,3,0,0,14.8,14.8,Delantero,
Saprissa,Mario Sequeira Quesada,23,23,0,0,0,0,14.2,14.2,Portero,
Saprissa,Marvin Loría Leitón,14,15,0,0,-1,0,8.4,8.4,Defensa,
Saprissa,Diego Calvo Fonseca,6,6,0,0,0,0,3.2,3.2,Volante,
Saprissa,Mynor Escoe Miller,1,1,0,0,0,0,0.0,0.0,Delantero,
Saprissa,Jamal Rodríguez Reid,1,1,0,0,0,0,0.0,0.0,Volante,
Saprissa,Luis Hernández ,1,1,0,0,0,0,0.0,0.0,Defensa,
Herediano,Elías Aguilar Vargas,116,89,-3,24,6,0,100.0,74.2,Volante,
Herediano,Yendrick Ruíz González,111,66,-2,47,0,0,95.7,71.0,Delantero,
Herediano,Pablo Salazar Sánchez,99,89,-5,18,-3,0,85.2,63.2,Defensa,
Herediano,Oscar Granados Maroto,87,74,-5,13,5,0,74.8,55.5,Volante,
Herediano,José Cubero Loría,87,77,-4,10,4,0,74.8,55.5,Volante,
Herediano,Gerson Torres Barrantes,80,66,-4,18,0,0,68.7,51.0,Delantero,
Herediano,Jonathan Hansen ,75,50,-4,29,0,0,64.3,47.7,Delantero,
