Equipo,Nombre,IRJ General,Edad,Posicion
Limón Fútbol Club,Eric Scott Bernarld,80,35,Delantero
Asociación Deportiva San Carlos,Álvaro Sánchez Alfaro,68,32,Volante
Asociación Deportiva San Carlos,Johnny Woodly Lambert,65,36,Delantero
Asociacion Deportiva Santos,Reimond Salas Gómez,64,22,Delantero
Municipal Liberia,Kenneth García Guillén,63,34,Volante
Liga Deportiva Alajuelense,José  Cordero Manzanares,62,30,Volante
Asociación Deportiva Carmelita,Carlos Hernández Valverde,62,34,Volante
Limón Fútbol Club,Miguel Marín Calderón,61,32,Volante
Club de Fútbol UCR,Víctor Gutiérrez Marín,61,25,Volante
Municipal Pérez Zeledón,Luis Landín Cortés,58,31,Delantero
Belén Fútbol Club,Julio Cruz González,58,21,Delantero
Club Sport Cartaginés,Juan Bustos Golobio,56,24,Volante
Liga Deportiva Alajuelense,Allen Guevara Zúñiga,54,27,Volante
Municipal Pérez Zeledón,Luis Pérez Algueda,54,29,Volante
Limón Fútbol Club,Erick Marín Calderón,51,34,Volante
Municipal Pérez Zeledón,Esyin Cordero Navarro,49,21,Volante
Club Sport Herediano,José Nieto Martínez,48,25,Volante
Club de Fútbol UCR,Josué Mitchell Omier,48,27,Delantero
Deportivo Saprissa,Daniel Colindres Solera,47,32,Delantero
Deportivo Saprissa,Fabrizio Ronchetti Amaral,47,31,Delantero
Municipal Pérez Zeledón,Juan Guzmán Otárola,47,29,Volante
Club de Fútbol UCR,Ronald Montero Lobo,47,29,Volante
Municipal Liberia,Félix Montoya Ordoñez,47,36,Volante
Belén Fútbol Club,César De la Peña Renteira,46,25,Delantero
Belén Fútbol Club,Brayan López Ramírez,46,26,Volante
Club Sport Cartaginés,Randall Brenes Moya,45,33,Delantero
Club Sport Cartaginés,Paolo Jiménez Coto,44,33,Volante
Asociacion Deportiva Santos,Leonardo Adams Aguilera,44,35,Delantero
Club Sport Herediano,Jairo Arrieta Obando,43,23,Delantero
Asociacion Deportiva Santos,Bryan Morales Carrillo,43,23,Portero
Limón Fútbol Club,Yuaycell Wright Parks,43,24,Delantero
Limón Fútbol Club,Alexánder Espinoza Barrantes,43,32,Volante
Municipal Liberia,Francisco Flores Zapata,43,28,Defensa
Municipal Pérez Zeledón,Keilor Soto Vega,42,32,Defensa
Asociacion Deportiva Santos,Edder Solórzano Leal,42,20,Volante
Asociación Deportiva San Carlos,Cristian Chávez Chacón,42,23,Delantero
Limón Fútbol Club,Dexter Lewis Bonilla,42,35,Portero
Asociación Deportiva Carmelita,Olman Vargas López,42,31,Delantero
Club Sport Herediano,José Leitón Rodríguez,41,23,Volante
Club Sport Herediano,Daniel Cambronero Solano,41,29,Portero
Club Sport Cartaginés,Lucas Gómez,41,29,Delantero
